asset_id,path,kind,alpha,portable,runtime_role,engine_specific,sha256
CASTLE_DAMAGE_0,assets/masks/castle_damage_0.png,mask,yes,yes,generic,no,a01fcdc6ded02a26c4c44a29a1015c1b0c2902401bd153548879cb3d62526a1b
CASTLE_DAMAGE_10,assets/masks/castle_damage_10.png,mask,yes,yes,generic,no,483c469d99faeb96f980c1b7107bd850e2a983ae2d6f878098461649d63dcda5
CASTLE_DAMAGE_25,assets/masks/castle_damage_25.png,mask,yes,yes,generic,no,a4e46ae2862ac0a9da5f8be03c0f81428c89520982502fcb735b0c3e51aafc6f
CASTLE_DAMAGE_50,assets/masks/castle_damage_50.png,mask,yes,yes,generic,no,174eb28862e753c743178820fd0627c0486918639abc782d44d2d7b9aecdfc18
CASTLE_DAMAGE_75,assets/masks/castle_damage_75.png,mask,yes,yes,generic,no,68249b570f5b72ab2dc9531b0891c1c2b9d2fa033c9a5515dbca1c8871a64e9b
AMBUSH,assets/raster_1x/card/ambush.png,raster-fallback,yes,yes,generic,no,fdd42062ac0847bb89209b666343e97ead4633539e1fcbfc41ebdcc99d77d857
AMBUSH_VOID,assets/raster_1x/card/ambush_void.png,raster-fallback,yes,yes,generic,no,43628b4bf473319212d56dff12adcacc7917e63362071cb4aee6d507f05e914b
CARD_BACK_MASTER,assets/raster_1x/card/card_back_master.png,raster-fallback,no,yes,generic,no,56f3d0a0dc0d290be6eabf13df7e87e7f742b77281cb4aa69ab29912cfdb47bf
CARD_FRONT_MASTER,assets/raster_1x/card/card_front_master.png,raster-fallback,no,yes,generic,no,844da9d82f4b3d50473a92ab80b6818c4a8cf962058c2fe10887ac5e23a1e02d
CARD_SLOT,assets/raster_1x/card/card_slot.png,raster-fallback,yes,yes,generic,no,efd74ac7451efd575b6055abe10f3a08cf04efc62b765d239bdb716399bbad53
DESTROYED,assets/raster_1x/card/destroyed.png,raster-fallback,yes,yes,generic,no,e741a343e72c0810071cb3b93d96b5e14a312c7fa580e01e82da864f9b4f2ed5
DISABLED,assets/raster_1x/card/disabled.png,raster-fallback,yes,yes,generic,no,692f3805449951fdfa89c98dd1793b34f07ac4b9c359d1abedf88b9b6a9f8c78
HOVER,assets/raster_1x/card/hover.png,raster-fallback,yes,yes,generic,no,129e2f9f5d1f0989859e4f34da4f18322abec1047fafa96922c8aeba2bfaf731
LEADER,assets/raster_1x/card/leader.png,raster-fallback,yes,yes,generic,no,a9fb99bec5c89bf7c04229eefabe7efa064de083801290cb91cf314e61d1fbad
LEADER_MANIFEST,assets/raster_1x/card/leader_manifest.png,raster-fallback,yes,yes,generic,no,cb82959040b668466394c02a5f2b3d9bf3a78249db1157c7fbf438284232d888
PUNISHMENT,assets/raster_1x/card/punishment.png,raster-fallback,yes,yes,generic,no,7a0ae0f89734623b6047d0df6c1ea4c36a6f32e8c54cb6bd73dd37d3e6837215
PUNISHMENT_INTRUSION,assets/raster_1x/card/punishment_intrusion.png,raster-fallback,yes,yes,generic,no,b428f3f542ac7513ed1684e83517c6a0c40b7d80b08298e49b337305ece8e948
SELECTED,assets/raster_1x/card/selected.png,raster-fallback,yes,yes,generic,no,862e5e735e26fcc46792dc544076bb3b5ea5d119bc7786d51e5717c8af0439e3
SILENCED,assets/raster_1x/card/silenced.png,raster-fallback,yes,yes,generic,no,e4e2fe0219a2ab52231be1c47901d87e591b763f488f31674a02d2f5e7e6d170
SPELL,assets/raster_1x/card/spell.png,raster-fallback,yes,yes,generic,no,324e367e49de582530285a3fc6ca43e969d476f21884409d8126605f8c01fb7e
SPELL_DIAGONAL,assets/raster_1x/card/spell_diagonal.png,raster-fallback,yes,yes,generic,no,5b610b08f455fa6afc25941933ac60e3bc26069bf77d4183a6ce6021663b0eb5
UNIT,assets/raster_1x/card/unit.png,raster-fallback,yes,yes,generic,no,827149db3ffc269e00be6fe9d21d8ee49a7177a45bae801f660ecffef32d57aa
UNIT_BREAKOUT,assets/raster_1x/card/unit_breakout.png,raster-fallback,yes,yes,generic,no,0bb41971c4c057c9bb3443f2dd283217a6bc21289697c3626caf1b43065eb432
FLAME_SEAL,assets/raster_1x/core/flame_seal.png,raster-fallback,yes,yes,generic,no,863af4a51297921e3b3ae9999511bf12e9d3a7a748c77ab0348263c78dbbd491
FLAME_WEDGE,assets/raster_1x/core/flame_wedge.png,raster-fallback,yes,yes,generic,no,6ef826555dd430cdb1dfb5b1cd814c01ae42fbaec894f2d4b89f1ae245a266e2
MACHINE_SEAL,assets/raster_1x/core/machine_seal.png,raster-fallback,yes,yes,generic,no,3a6aa002d95b2273ffbf79cf6fda4261ae9b651f389c8609ed544eff1cb9cb26
MACHINE_WEDGE,assets/raster_1x/core/machine_wedge.png,raster-fallback,yes,yes,generic,no,3440df4c2db8442eb69097a23fd89680cd6cb60f00e81c0dc98e71c36661969c
MISREGISTRATION_GRID,assets/raster_1x/core/misregistration_grid.png,raster-fallback,yes,yes,generic,no,fc8304ef3f8da8b9066797b74ea1281ecd820f9a9d5c9d312fdf0242b21ab81e
NEUTRAL_SEAL,assets/raster_1x/core/neutral_seal.png,raster-fallback,yes,yes,generic,no,475531cf96b7adcc964d4340b7ce403886d84969ae83cd7bfb5814cbc95608c6
NEUTRAL_WEDGE,assets/raster_1x/core/neutral_wedge.png,raster-fallback,yes,yes,generic,no,7974b170d0aeb357f110eb75270a079a4400a59e91cf15759b492380ca715bb6
SEA_SEAL,assets/raster_1x/core/sea_seal.png,raster-fallback,yes,yes,generic,no,4af97c4170eee874c2826d0bc681430bb5a32050241975b8646880611d56f1d9
SEA_WEDGE,assets/raster_1x/core/sea_wedge.png,raster-fallback,yes,yes,generic,no,3a3d704df41a87e8d30da2a07d7349e2a6be2c2879d84ea526212f645ddf59f4
WOOD_SEAL,assets/raster_1x/core/wood_seal.png,raster-fallback,yes,yes,generic,no,dc7338877b8e44db2d9f8da375272467513845eff611bbbf94b84fd0411e457d
WOOD_WEDGE,assets/raster_1x/core/wood_wedge.png,raster-fallback,yes,yes,generic,no,9f8041dc3d1eeb5e3c1ec988ecbc968c388fbc3cb5b9396fa11521b890573764
AMBUSH_FOCUS,assets/raster_1x/icons/ambush_focus.png,raster-fallback,yes,yes,generic,no,5d29ecdf56229219633d2a0620d202ab170820b63b8ceae5b36863074afa8210
AMBUSH_LOCKDOWN,assets/raster_1x/icons/ambush_lockdown.png,raster-fallback,yes,yes,generic,no,40057605b6f5cd5466ed5358da10527eee56c53452f09d541159a20b169d25c9
AMBUSH_NORMAL,assets/raster_1x/icons/ambush_normal.png,raster-fallback,yes,yes,generic,no,f6f866ac244394823accf719927cd3e73de8b5ef7eb7d39b68ed8dfcdd3683f6
BACK,assets/raster_1x/icons/back.png,raster-fallback,yes,yes,generic,no,76bdb7094ce0e783fd882cd15dcde9bd92c342a0ef8d58a53e4ceee9b5cf9ecb
CANCEL,assets/raster_1x/icons/cancel.png,raster-fallback,yes,yes,generic,no,79b621b16cd77d4f30aee9e9fbcbbd48ce4469cf3faeecf700584cf1dd62c1a9
CASTLE,assets/raster_1x/icons/castle.png,raster-fallback,yes,yes,generic,no,906c72f0478c7bf84114b8d08603f5be3b95d721fb16bb2b1fe79bf9d836e2d0
CHANT,assets/raster_1x/icons/chant.png,raster-fallback,yes,yes,generic,no,7de6a7a6e029239c7fdd60567b0b155bf2b2d0c99d9c827b2e2512da7bbb41a5
CONFIRM,assets/raster_1x/icons/confirm.png,raster-fallback,yes,yes,generic,no,f2898877b48a2080b98d4bff1dd9b9e3f69aafc2c31fa924768be02946491986
CYCLE,assets/raster_1x/icons/cycle.png,raster-fallback,yes,yes,generic,no,5b644338f0e8733b7ecde0cce25935ebdfc36924171d81519acc83cfd0a26ea6
DECK,assets/raster_1x/icons/deck.png,raster-fallback,yes,yes,generic,no,b2f4486cee7e186b0b76e6fa4f40233cf449e8393bf3262d5c6fc89d9f39bc16
DESTROY,assets/raster_1x/icons/destroy.png,raster-fallback,yes,yes,generic,no,f48d6d0981222e145460636bab08901906184f388988f53690d7841f01c39b18
DISCARD,assets/raster_1x/icons/discard.png,raster-fallback,yes,yes,generic,no,0bd5adf04341572c2274b359c1a7c6029824cb8920e9fa03b3710d3347c0343c
DRAW,assets/raster_1x/icons/draw.png,raster-fallback,yes,yes,generic,no,ad23de078c23484bbef7378074e0d3530f65b074ded4e508d68dcd0d3cbda3d9
DURABILITY,assets/raster_1x/icons/durability.png,raster-fallback,yes,yes,generic,no,98d63cfeefd061acf0615242d5e31efd70c3e37c7184e360815f4901c04a86d8
GUARD,assets/raster_1x/icons/guard.png,raster-fallback,yes,yes,generic,no,a8f5530e0416c0251ac9b358da7759b516ee0a8c23bc8c1efc2887a57feb913d
HEAL,assets/raster_1x/icons/heal.png,raster-fallback,yes,yes,generic,no,f02a7fb144bafa6abe620db6e21ce9c9c969965f6bc63b9d8086ad35ba6a2049
INFO,assets/raster_1x/icons/info.png,raster-fallback,yes,yes,generic,no,64c83c4e4202dcdb1a491ba20c85d680f350856c6e1191e884a7095bf0dd2253
KING_SLAYER,assets/raster_1x/icons/king_slayer.png,raster-fallback,yes,yes,generic,no,9edb5ff5a18003a113640b10cccb4590602160d7fbf64cfe8c5568333a266046
LEADER,assets/raster_1x/icons/leader.png,raster-fallback,yes,yes,generic,no,cdc79563bac5cb8baa000bad9fe6976d35fb9f7d943a28c59f04ae30ee60540b
PAUSE,assets/raster_1x/icons/pause.png,raster-fallback,yes,yes,generic,no,f2922907323e39349304e715d5b93e7c5d930e835015c2d660a4e1d86ad82a77
PHASE_ACTION,assets/raster_1x/icons/phase_action.png,raster-fallback,yes,yes,generic,no,e08dda442ea772fdbcb988e8ab38aecbf063a583c1da98b1b8ed8ceb4417a4ae
PHASE_AMBUSH,assets/raster_1x/icons/phase_ambush.png,raster-fallback,yes,yes,generic,no,18a0a60bb9bf6fca803ea7073aa47aeb067c6fd65044d926950a683a92000924
PHASE_DISCARD,assets/raster_1x/icons/phase_discard.png,raster-fallback,yes,yes,generic,no,55c11703331e47506eb4d5bd94513076ca2877c74614b82fef9e1c4cf886044e
PHASE_END,assets/raster_1x/icons/phase_end.png,raster-fallback,yes,yes,generic,no,7f294e54b0395b8e994d0c544b62c180e5eb725123dae25ed00b7403635a3b1c
PHASE_START,assets/raster_1x/icons/phase_start.png,raster-fallback,yes,yes,generic,no,086e74f27e76e2dab38039feccda93b36cd0731570b9fbfd94d7f8c361b4c2e0
PLAY,assets/raster_1x/icons/play.png,raster-fallback,yes,yes,generic,no,a6de8301f0b6ae24f9af715e47feaa607dd88647d6b0a13df6e278a5c1211fd9
PUNISH,assets/raster_1x/icons/punish.png,raster-fallback,yes,yes,generic,no,24ddc24355a35f60ecab7b97fa0752b91c811f4b330119301163a37658e6c57f
REMATCH,assets/raster_1x/icons/rematch.png,raster-fallback,yes,yes,generic,no,9dec5d80fab15aae4705ed6427844d00756f4c65fab90e697737eacab0ecd3ae
RULES,assets/raster_1x/icons/rules.png,raster-fallback,yes,yes,generic,no,6b7611917d5a68d3ab44a282a857706c3109f335bf2f8c4209ce3aabb597cef9
RUSH,assets/raster_1x/icons/rush.png,raster-fallback,yes,yes,generic,no,0eaba4a9c0804a60bdb4f37ffd1ee1d402bc0780e3849d71994e9f663160582c
SETTINGS,assets/raster_1x/icons/settings.png,raster-fallback,yes,yes,generic,no,61e75c82a4b4900cb0a1b71dd3a5bb2a2e75ff83f0482e9627c7bcaf1c88225d
SILENCE,assets/raster_1x/icons/silence.png,raster-fallback,yes,yes,generic,no,d3b9bd9c5fc2c92e8325e607ecf78ce94a2fbd7f4e78207bcaf719627c9c20b7
TAUNT,assets/raster_1x/icons/taunt.png,raster-fallback,yes,yes,generic,no,ebebc27a2963850961dbe19be117759fae93e92bcc7733554292a9483db2d842
VICTORY,assets/raster_1x/icons/victory.png,raster-fallback,yes,yes,generic,no,6d50d1e0f0b58f037e0e1d10d43d78b4e1ffd03b165a0b361a8e7b40b65fe92c
WARD,assets/raster_1x/icons/ward.png,raster-fallback,yes,yes,generic,no,54c2242555edd71e245adc7c38cb4c0d2c3cbbbe285766cc26efbefab7064216
