path,width,height,has_transparent_pixels,fully_transparent,alpha_range
assets/masks/castle_damage_0.png,900,300,yes,no,0-255
assets/masks/castle_damage_10.png,900,300,yes,no,0-255
assets/masks/castle_damage_25.png,900,300,yes,no,0-255
assets/masks/castle_damage_50.png,900,300,yes,no,0-255
assets/masks/castle_damage_75.png,900,300,yes,yes,0-0
assets/raster_1x/card/ambush.png,100,100,yes,no,0-255
assets/raster_1x/card/ambush_void.png,274,400,yes,no,0-255
assets/raster_1x/card/card_back_master.png,274,400,no,no,255-255
assets/raster_1x/card/card_front_master.png,274,400,no,no,255-255
assets/raster_1x/card/card_slot.png,274,400,yes,no,0-255
assets/raster_1x/card/destroyed.png,274,400,yes,no,0-241
assets/raster_1x/card/disabled.png,274,400,yes,no,0-203
assets/raster_1x/card/hover.png,274,400,yes,no,0-179
assets/raster_1x/card/leader.png,100,100,yes,no,0-255
assets/raster_1x/card/leader_manifest.png,274,400,yes,no,0-255
assets/raster_1x/card/punishment.png,100,100,yes,no,0-255
assets/raster_1x/card/punishment_intrusion.png,274,400,yes,no,0-255
assets/raster_1x/card/selected.png,274,400,yes,no,0-255
assets/raster_1x/card/silenced.png,274,400,yes,no,0-250
assets/raster_1x/card/spell.png,100,100,yes,no,0-255
assets/raster_1x/card/spell_diagonal.png,274,400,yes,no,0-255
assets/raster_1x/card/unit.png,100,100,yes,no,0-255
assets/raster_1x/card/unit_breakout.png,274,400,yes,no,0-255
assets/raster_1x/core/flame_seal.png,100,100,yes,no,0-255
assets/raster_1x/core/flame_wedge.png,84,110,yes,no,0-255
assets/raster_1x/core/machine_seal.png,100,100,yes,no,0-255
assets/raster_1x/core/machine_wedge.png,84,110,yes,no,0-255
assets/raster_1x/core/misregistration_grid.png,256,256,yes,no,0-154
assets/raster_1x/core/neutral_seal.png,100,100,yes,no,0-255
assets/raster_1x/core/neutral_wedge.png,84,110,yes,no,0-255
assets/raster_1x/core/sea_seal.png,100,100,yes,no,0-255
assets/raster_1x/core/sea_wedge.png,84,110,yes,no,0-255
assets/raster_1x/core/wood_seal.png,100,100,yes,no,0-255
assets/raster_1x/core/wood_wedge.png,84,110,yes,no,0-255
assets/raster_1x/icons/ambush_focus.png,100,100,yes,no,0-255
assets/raster_1x/icons/ambush_lockdown.png,100,100,yes,no,0-255
assets/raster_1x/icons/ambush_normal.png,100,100,yes,no,0-255
assets/raster_1x/icons/back.png,100,100,yes,no,0-255
assets/raster_1x/icons/cancel.png,100,100,yes,no,0-255
assets/raster_1x/icons/castle.png,100,100,yes,no,0-255
assets/raster_1x/icons/chant.png,100,100,yes,no,0-255
assets/raster_1x/icons/confirm.png,100,100,yes,no,0-255
assets/raster_1x/icons/cycle.png,100,100,yes,no,0-255
assets/raster_1x/icons/deck.png,100,100,yes,no,0-255
assets/raster_1x/icons/destroy.png,100,100,yes,no,0-255
assets/raster_1x/icons/discard.png,100,100,yes,no,0-255
assets/raster_1x/icons/draw.png,100,100,yes,no,0-255
assets/raster_1x/icons/durability.png,100,100,yes,no,0-255
assets/raster_1x/icons/guard.png,100,100,yes,no,0-255
