id,faction,name,type,P,Pp,S,K,actEv,T,budget,target,net,verdict,formulaNote
flame_imp,烈焰帝国,小鬼,MINION,0,1,3,0,0,0,3.05,3.05,-0.05,正常,对账口径(生成器预算)
flame_imp_v2,烈焰帝国,小鬼·老兵,MINION,0,0,5,-1,2,0,4.55,5.55,0.45,正常,对账口径(生成器预算)
flame_bolt,烈焰帝国,闪电箭,SPELL,0,1,0,0,1,0,3.05,3.05,-2.05,亏模,SPELL无身材-公式不适用
flame_imp_v3,烈焰帝国,小鬼·精英,MINION,0,0,3,0,3,0,4.55,6.55,-0.55,正常,对账口径(生成器预算)
flame_trap,烈焰帝国,炎爆陷阱,AMBUSH,0,1,0,0,0,0,3.05,3.05,-3.05,亏模,AMBUSH无身材-公式不适用
flame_bolt_v2,烈焰帝国,闪电箭·老兵,SPELL,0,0,0,0,4,0,4.55,5.55,-1.55,亏模,SPELL无身材-公式不适用
flame_retribution,烈焰帝国,天罚,PUNISH,1,1,0,0,0,0,3.46,3.46,-3.46,亏模,PUNISH不从主动出-公式不适用
flame_recruit,烈焰帝国,新兵,MINION,0,0,5,0,0,0,4.55,4.55,0.45,正常,对账口径(生成器预算)
flame_bolt_v3,烈焰帝国,闪电箭·精英,SPELL,0,1,0,0,2,0,3.05,5.05,-3.05,亏模,SPELL无身材-公式不适用
flame_recruit_v2,烈焰帝国,新兵·老兵,MINION,0,0,4,0,2,0,4.55,5.55,0.45,正常,对账口径(生成器预算)
flame_recruit_v3,烈焰帝国,新兵·精英,MINION,0,1,3,0,2,0,3.05,5.05,-0.05,正常,对账口径(生成器预算)
flame_zealot,烈焰帝国,狂信者,MINION,0,0,3,0,0,1,4.55,3.05,-0.05,正常,对账口径(生成器预算)
flame_strike,烈焰帝国,轰击,SPELL,0,1,0,0,1,0,3.05,3.05,-2.05,亏模,SPELL无身材-公式不适用
flame_zealot_v2,烈焰帝国,狂信者·老兵,MINION,0,0,4,0,0,1,4.55,4.05,-0.05,正常,对账口径(生成器预算)
flame_trap_v2,烈焰帝国,炎爆陷阱·老兵,AMBUSH,0,1,0,0,0,0,3.05,4.05,-4.05,亏模,AMBUSH无身材-公式不适用
flame_strike_v2,烈焰帝国,轰击·老兵,SPELL,0,0,0,0,2.5,0,4.55,5.55,-3.05,亏模,SPELL无身材-公式不适用
flame_retribution_v2,烈焰帝国,天罚·老兵,PUNISH,1,1,0,0,0,0,3.46,4.46,-4.46,亏模,PUNISH不从主动出-公式不适用
flame_zealot_v3,烈焰帝国,狂信者·精英,MINION,0,0,5,0,0,1,4.55,5.05,-0.05,正常,对账口径(生成器预算)
